reported_date,reported_date_year,reported_date_mon,reported_date_mon,victim_race,victim_age,victim_sex,city,lat,lon,disposition
20160101,2016,01,1,Hispanic,19,Female,New York,40.68714,-73.85615,Closed by arrest
20160104,2016,01,1,Hispanic,28,Male,New York,40.88393,-73.90132,Closed by arrest
20160104,2016,01,1,Black,39,Female,New York,40.8736,-73.8456,Closed by arrest
20160106,2016,01,1,Black,27,Male,New York,40.6746,-73.93861,Open/No arrest
20160109,2016,01,1,Black,25,Male,New York,40.66156,-73.92595,Open/No arrest
20160110,2016,01,1,Black,29,Male,New York,40.68328,-73.93062,Closed by arrest
20160110,2016,01,1,Black,33,Male,New York,40.67623,-74.00695,Open/No arrest
20160111,2016,01,1,Hispanic,50,Male,New York,40.67649,-73.83707,Closed by arrest
20160111,2016,01,1,Black,44,Male,New York,40.67991,-73.92078,Closed by arrest
20160111,2016,01,1,Black,34,Male,New York,40.68191,-73.89459,Closed by arrest
20160113,2016,01,1,Black,18,Male,New York,40.66476,-73.89404,Closed by arrest
20160114,2016,01,1,White,43,Male,New York,40.54899,-74.23027,Closed by arrest
20160116,2016,01,1,Hispanic,26,Male,New York,40.66108,-73.89482,Open/No arrest
20160116,2016,01,1,Hispanic,31,Male,New York,40.6064,-74.12048,Closed by arrest
20160117,2016,01,1,Black,37,Male,New York,40.57612,-73.99983,Open/No arrest
20160120,2016,01,1,Hispanic,17,Male,New York,40.70686,-73.9482,Closed by arrest
20160121,2016,01,1,Hispanic,36,Male,New York,40.85792,-73.8929,Closed by arrest
20160122,2016,01,1,Hispanic,61,Male,New York,40.68479,-73.87856,Closed by arrest
20160123,2016,01,1,White,37,Male,New York,40.64459,-74.0019,Closed by arrest
20160124,2016,01,1,Hispanic,59,Female,New York,40.81139,-73.92231,Closed by arrest
20160127,2016,01,1,Black,36,Female,New York,40.59621,-73.7647,Closed by arrest
20160127,2016,01,1,White,62,Male,New York,40.80339,-73.93815,Closed without arrest
20160202,2016,02,2,Black,59,Male,New York,40.88905,-73.85133,Closed by arrest
20160203,2016,02,2,Black,38,Male,New York,40.64365,-73.95269,Open/No arrest
20160205,2016,02,2,Hispanic,43,Male,New York,40.82767,-73.92544,Closed by arrest
20160205,2016,02,2,White,57,Male,New York,40.75033,-73.79213,Closed by arrest
20160208,2016,02,2,Black,29,Male,New York,40.85306,-73.86894,Closed by arrest
20160210,2016,02,2,Black,26,Female,New York,40.60839,-74.14661,Closed by arrest
20160210,2016,02,2,Black,0,Female,New York,40.60839,-74.14661,Closed by arrest
20160210,2016,02,2,Black,1,Female,New York,40.60839,-74.14661,Closed by arrest
20160211,2016,02,2,Black,16,Male,New York,40.66269,-73.88831,Closed by arrest
20160213,2016,02,2,Black,24,Male,New York,40.64201,-73.9017,Closed by arrest
20160213,2016,02,2,Black,22,Male,New York,40.8175,-73.94198,Closed by arrest
20160215,2016,02,2,Asian,44,Male,New York,40.63748,-74.0075,Closed by arrest
20160215,2016,02,2,Black,33,Male,New York,40.65149,-73.92453,Open/No arrest
20160216,2016,02,2,Black,29,Male,New York,40.68508,-73.92799,Closed by arrest
20160217,2016,02,2,Black,54,Male,New York,40.63674,-74.13428,Closed by arrest
20160221,2016,02,2,Hispanic,1,Male,New York,40.60888,-74.08316,Closed by arrest
20160222,2016,02,2,Hispanic,20,Male,New York,40.81033,-73.91477,Open/No arrest
20160225,2016,02,2,Black,23,Male,New York,40.66763,-73.89625,Open/No arrest
20160301,2016,03,3,Hispanic,27,Male,New York,40.85359,-73.90059,Closed by arrest
20160304,2016,03,3,Hispanic,36,Male,New York,40.82098,-73.84964,Closed by arrest
20160304,2016,03,3,Black,26,Male,New York,40.60021,-74.1215,Closed by arrest
20160305,2016,03,3,Hispanic,34,Male,New York,40.74522,-73.91045,Closed by arrest
20160306,2016,03,3,Black,24,Male,New York,40.69969,-73.76649,Open/No arrest
20160306,2016,03,3,White,55,Male,New York,40.76894,-73.91144,Closed by arrest
20160307,2016,03,3,Hispanic,34,Female,New York,40.81219,-73.92421,Closed without arrest
20160309,2016,03,3,Hispanic,38,Male,New York,40.86093,-73.92031,Open/No arrest
20160309,2016,03,3,White,57,Male,New York,40.85111,-73.93526,Closed by arrest
20160310,2016,03,3,Black,22,Male,New York,40.67166,-73.9582,Open/No arrest
20160310,2016,03,3,White,23,Female,New York,40.59009,-74.09468,Closed by arrest
20160311,2016,03,3,Black,33,Male,New York,40.69283,-73.75815,Open/No arrest
20160311,2016,03,3,White,24,Male,New York,40.52768,-74.23022,Closed by arrest
20160312,2016,03,3,White,0,Female,New York,40.5861,-74.16263,Closed by arrest
20160313,2016,03,3,Asian,2,Female,New York,40.6448,-74.00527,Closed by arrest
20160313,2016,03,3,Black,47,Male,New York,40.8804,-73.86385,Closed by arrest
20160314,2016,03,3,Black,23,Male,New York,40.63177,-73.8873,Open/No arrest
20160316,2016,03,3,Black,53,Male,New York,40.80262,-73.95109,Closed by arrest
20160316,2016,03,3,White,78,Male,New York,40.76641,-73.96838,Open/No arrest
20160317,2016,03,3,Black,21,Male,New York,40.82318,-73.86654,Open/No arrest
20160318,2016,03,3,Hispanic,37,Male,New York,40.81111,-73.90634,Open/No arrest
20160318,2016,03,3,Black,29,Male,New York,40.81145,-73.91618,Open/No arrest
20160319,2016,03,3,Black,26,Male,New York,40.67357,-73.80738,Open/No arrest
20160324,2016,03,3,Hispanic,21,Male,New York,40.63349,-74.16343,Closed by arrest
20160324,2016,03,3,Hispanic,47,Female,New York,40.63349,-74.16343,Closed by arrest
20160324,2016,03,3,Black,34,Male,New York,40.67433,-73.88839,Open/No arrest
20160325,2016,03,3,Hispanic,16,Male,New York,40.79634,-73.9412,Open/No arrest
20160327,2016,03,3,Black,1,Male,New York,40.83572,-73.8513,Open/No arrest
20160401,2016,04,4,Black,17,Male,New York,40.57483,-73.99093,Closed by arrest
20160401,2016,04,4,White,70,Male,New York,40.72598,-73.9908,Closed by arrest
20160403,2016,04,4,Black,21,Male,New York,40.6582,-73.95854,Closed by arrest
20160404,2016,04,4,White,63,Male,New York,40.66182,-73.99648,Closed by arrest
20160408,2016,04,4,Hispanic,24,Male,New York,40.85742,-73.89371,Closed by arrest
20160409,2016,04,4,Hispanic,31,Male,New York,40.7391,-73.89677,Open/No arrest
20160410,2016,04,4,Black,30,Male,New York,40.81607,-73.90855,Closed by arrest
20160412,2016,04,4,Hispanic,22,Male,New York,40.7839,-73.95029,Closed by arrest
20160413,2016,04,4,Black,21,Male,New York,40.66511,-73.89167,Closed by arrest
20160414,2016,04,4,Black,21,Male,New York,40.63682,-74.11865,Closed by arrest
20160414,2016,04,4,Black,23,Male,New York,40.72761,-73.97782,Closed by arrest
20160415,2016,04,4,Hispanic,56,Male,New York,40.74082,-73.97426,Closed by arrest
20160415,2016,04,4,Black,41,Male,New York,40.83345,-73.94341,Closed by arrest
20160416,2016,04,4,Black,32,Male,New York,40.7035,-73.7675,Closed by arrest
20160417,2016,04,4,Hispanic,21,Male,New York,40.80139,-73.93271,Closed by arrest
20160417,2016,04,4,Black,19,Male,New York,40.81637,-73.86763,Open/No arrest
20160418,2016,04,4,Hispanic,19,Male,New York,40.84769,-73.93493,Closed by arrest
20160419,2016,04,4,Hispanic,58,Male,New York,40.86959,-73.90005,Closed by arrest
20160419,2016,04,4,Black,24,Male,New York,40.68608,-73.91923,Closed by arrest
20160421,2016,04,4,Black,45,Male,New York,40.6891,-73.92562,Closed by arrest
20160423,2016,04,4,Black,30,Male,New York,40.83558,-73.9088,Open/No arrest
20160424,2016,04,4,Hispanic,75,Male,New York,40.87285,-73.89879,Closed by arrest
20160426,2016,04,4,Hispanic,39,Male,New York,40.69984,-73.91309,Closed by arrest
20160427,2016,04,4,Hispanic,41,Male,New York,40.82041,-73.89333,Closed by arrest
